,0
0,90
1,185
2,305
3,372
4,413
5,417
6,418
7,469
8,552
9,580
10,603
11,678
12,718
13,719
14,1011
15,1032
16,1072
17,1343
18,1355
19,1423
20,1446
21,1459
22,1504
23,1822
24,1835
25,1856
26,1860
27,1926
28,2100
29,2185
30,2208
31,2297
32,2304
33,2373
34,2529
35,2611
36,2652
37,2684
38,2786
39,2792
40,2858
41,3105
42,3172
43,3284
44,3404
45,3505
46,3549
47,3592
48,3695
49,3776
50,3784
51,3801
52,3906
53,3930
54,3950
55,3991
56,4479
57,4495
58,4544
59,4592
60,4639
61,4678
62,4893
63,4960
64,4971
65,5032
66,5051
67,5083
68,5191
69,5192
70,5215
71,5416
72,5431
73,5442
74,5752
75,5827
76,5830
77,5841
78,5956
79,5969
80,6066
81,6095
82,6171
83,6230
84,6262
85,6292
86,6355
87,6365
88,6410
89,6480
90,6518
91,6548
92,6564
93,6592
94,6631
95,6676
96,6736
97,6877
98,6890
99,6924
100,6935
101,6993
102,7483
103,7587
104,7589
105,7596
106,7626
107,7734
108,7759
109,7791
110,7801
111,7822
112,7827
113,7887
114,8072
115,8199
116,8248
117,8263
118,8295
119,8356
120,8467
121,8560
122,8589
123,8600
124,8617
125,8895
126,9019
127,9069
128,9096
129,9165
130,9295
131,9383
132,9385
133,9425
134,9461
135,9469
136,9540
137,9547
138,9718
139,9756
140,9834
141,9839
142,9919
143,10030
144,10101
145,10102
146,10187
147,10225
148,10240
149,10244
150,10386
151,10463
152,10517
153,10549
154,10594
155,10793
156,10935
157,11011
158,11032
159,11045
160,11167
161,11175
162,11205
163,11543
164,11763
165,11805
166,11816
167,11923
168,11928
169,12174
170,12299
171,12362
172,12392
173,12396
174,12446
175,12480
176,12704
177,12741
178,12852
179,13039
180,13067
181,13172
182,13259
183,13284
184,13298
185,13389
186,13467
187,13473
188,13515
189,13527
190,13624
191,13808
192,13815
193,13817
194,13856
195,13901
196,13967
197,14036
198,14055
199,14181
200,14205
201,14208
202,14214
203,14321
204,14351
205,14375
206,14489
207,14490
208,14545
209,14571
210,14582
211,14655
212,14699
213,14768
214,14831
215,14891
216,14921
217,14941
218,15021
219,15085
220,15246
221,15365
222,15551
223,15656
224,15706
225,15742
226,15806
227,15851
228,15894
229,16105
230,16140
231,16194
232,16198
233,16231
234,16303
235,16361
236,16536
237,16551
238,16570
239,16659
240,16772
241,16784
242,16817
243,16878
244,17048
245,17111
246,17221
247,17227
248,17337
249,17607
250,17627
251,17746
252,17837
253,17891
254,18021
255,18184
256,18215
257,18251
258,18343
259,18402
260,18486
261,18596
262,18693
263,18706
264,18789
265,18806
266,18848
267,19067
268,19083
269,19114
270,19138
271,19338
272,19368
273,19400
274,19493
275,19674
276,19695
277,19720
278,19886
279,19893
280,19900
281,19929
282,19969
283,19999
284,20011
285,20018
286,20026
287,20121
288,20237
289,20280
290,20315
291,20371
292,20394
293,20412
294,20484
295,20546
296,20564
297,20651
298,20682
299,20919
300,20980
301,21018
302,21113
303,21216
304,21274
305,21371
306,21387
307,21468
308,21509
309,21529
310,21535
311,21649
312,21657
313,21731
314,21893
315,22215
316,22277
317,22334
318,22371
319,22380
320,22389
321,22454
322,22615
323,22619
324,22639
325,22679
326,22693
327,22730
328,23001
329,23150
330,23209
331,23237
332,23255
333,23323
334,23332
335,23436
336,23450
337,23556
338,23608
339,23696
340,23720
341,23755
342,23884
343,23910
344,23958
345,23959
346,24155
347,24201
348,24511
349,24726
350,24763
351,24790
352,24798
353,24846
354,24970
355,24980
356,25098
357,25283
358,25290
359,25448
360,25633
361,25675
362,25731
363,25771
364,25835
365,25837
366,26405
367,26472
368,26522
369,26531
370,26583
371,26593
372,26639
373,26908
374,26996
375,27221
376,27231
377,27479
378,27615
379,27746
380,27760
381,28009
382,28160
383,28357
384,28441
385,28601
386,28708
387,28775
388,28796
389,28876
390,28980
391,29231
392,29359
393,29535
394,29859
395,29982
396,30001
397,30041
398,30141
399,30260
400,30285
401,30398
402,30434
403,30516
404,30559
405,30710
406,30739
407,31177
408,31185
